product_id,name,category_id,brand_id,supplier_id,price,created_at,season
1,Product 1,8,4,1,143.2,2056-08-10,Spring
2,Product 2,8,7,8,163.47,2023-03-08,All Year
3,Product 3,9,10,8,444.53,2099-08-24,All Year
4,Product 4,6,7,7,150.76,2020-11-14,All Year
5,Product 5,5,10,4,348.67,2022-03-31,All Year
6,Product 6,2,10,6,444.62,2021-05-18,Winter
7,Product 7,2,5,6,281.28,2021-01-22,All Year
8,Product 8,2,5,8,194.8,2023-08-05,Winter
9,Product 9,5,6,6,124.33,2023-09-09,All Year
10,Product 10,2,10,7,156.37,2020-07-10,Spring
11,Product 11,4,1,2,274.17,2022-06-30,Winter
12,Product 12,2,2,6,N/A,2020-06-20,All Year
13,Product 13,5,7,7,438.33,2043-10-15,Winter
14,Product 14,4,9,1,352.49,2023-10-29,All Year
15,Product 15,10,10,2,31.79,2022-10-21,All Year
16,Product 16,5,6,2,271.65,2021-06-13,All Year
17,Product 17,10,6,9,421.43,2022-06-05,All Year
18,Product 18,5,10,1,278.93,2022-12-17,All Year
19,Product 19,6,1,8,374.97,2023-06-09,Winter
20,Product 20,6,9,10,N/A,2021-06-12,All Year
21,Product 21,1,9,9,346.87,2020-12-23,All Year
22,Product 22,1,9,4,266.89,2022-07-12,All Year
23,Product 23,4,3,4,296.03,2020-02-12,All Year
24,Product 24,10,7,10,64.35,2020-08-28,All Year
25,Product 25,7,9,8,195.53,2022-06-26,All Year
26,Product 26,10,5,9,184.78,2020-07-04,All Year
27,Product 27,4,7,6,374.08,2022-06-16,All Year
28,Product 28,3,7,10,371.76,2020-09-07,Fall
29,Product 29,8,10,1,354.43,2021-01-21,All Year
30,Product 30,2,1,5,338.53,2067-09-02,Spring
31,Product 31,10,1,2,24.96,2023-08-19,All Year
32,Product 32,7,7,9,378.14,2048-03-13,All Year
33,Product 33,6,10,8,84.49,2030-00-01,All Year
34,Product 34,10,5,9,14.78,2020-04-01,Spring
35,Product 35,6,6,9,478.66,2020-12-16,All Year
36,Product 36,5,3,6,413.85,2021-01-05,All Year
37,Product 37,2,3,6,416.79,2022-03-27,Winter
38,Product 38,3,2,8,141.06,2042-03-15,Summer
39,Product 39,9,9,3,N/A,2020-01-22,Fall
40,Product 40,6,1,10,366.8,2023-05-05,All Year
41,Product 41,4,4,10,418.65,2023-08-17,All Year
42,Product 42,8,4,3,242.37,2020-11-11,All Year
43,Product 43,4,10,8,232.62,2094-05-19,All Year
44,Product 44,6,4,2,58.1,2022-01-29,Fall
45,Product 45,1,4,5,477.51,2020-07-11,Winter
46,Product 46,4,5,6,286.66,2023-08-05,All Year
47,Product 47,7,6,9,377.6,2021-04-29,All Year
48,Product 48,7,6,3,342.2,2020-06-02,Summer
49,Product 49,5,6,7,285.64,2023-02-08,Winter
50,Product 50,1,6,5,443.38,2021-12-27,Spring
51,Product 51,7,8,4,363.89,2083-10-21,Winter
52,Product 52,5,8,1,371.34,2021-12-09,All Year
53,Product 53,8,9,8,N/A,2020-10-31,All Year
54,Product 54,8,3,1,135.76,2021-07-13,Summer
55,Product 55,7,10,1,194.14,2022-05-07,Spring
56,Product 56,6,10,5,309.32,2046-01-17,All Year
57,Product 57,8,9,7,124.43,2021-09-13,All Year
58,Product 58,8,10,10,12.26,2022-03-06,Fall
59,Product 59,2,10,8,N/A,2022-05-16,All Year
60,Product 60,6,4,7,126.12,2096-05-14,All Year
61,Product 61,5,1,2,386.74,2021-05-09,Fall
62,Product 62,10,4,10,198.3,2023-10-27,All Year
63,Product 63,1,6,9,460.33,2020-07-26,All Year
64,Product 64,3,9,9,296.15,2021-08-13,Summer
65,Product 65,8,1,8,222.5,2090-05-09,All Year
66,Product 66,6,4,4,N/A,2023-02-15,All Year
67,Product 67,4,3,5,379.47,2020-04-08,All Year
68,Product 68,1,4,8,379.94,2021-02-16,All Year
69,Product 69,6,3,10,478.92,2020-12-05,All Year
70,Product 70,2,4,4,229.27,2020-01-17,All Year
71,Product 71,9,3,8,53.51,2020-07-25,Summer
72,Product 72,10,3,4,N/A,2020-08-26,All Year
73,Product 73,5,2,5,74.72,2023-05-08,Spring
74,Product 74,6,6,2,236.87,2022-12-03,Summer
75,Product 75,6,10,10,346.88,2021-10-19,All Year
76,Product 76,6,2,1,212.91,2022-02-17,Winter
77,Product 77,2,4,7,406.64,2021-11-25,Spring
78,Product 78,7,4,4,192.7,2020-07-12,Spring
79,Product 79,5,6,5,386.18,2022-10-28,All Year
80,Product 80,3,4,5,395.91,2023-08-25,All Year
81,Product 81,9,10,4,204.8,2083-00-20,All Year
82,Product 82,1,2,2,247.82,2021-11-12,All Year
83,Product 83,5,2,7,138.61,2020-03-28,All Year
84,Product 84,2,9,1,157.02,2021-07-24,All Year
85,Product 85,1,3,1,N/A,2023-01-16,All Year
86,Product 86,1,3,4,172.85,2020-09-03,All Year
87,Product 87,2,6,4,216.59,2037-08-07,Spring
88,Product 88,6,9,8,102.61,2022-12-06,All Year
89,Product 89,4,7,8,266.31,2022-09-27,All Year
90,Product 90,7,1,5,385.55,2044-08-28,Summer
91,Product 91,4,2,7,109.49,2022-02-20,All Year
92,Product 92,8,9,3,376.18,2060-00-02,Winter
93,Product 93,10,9,5,395.1,2020-06-13,Winter
94,Product 94,1,3,5,385.6,2023-04-26,All Year
95,Product 95,3,6,8,56.87,2099-00-19,All Year
96,Product 96,2,7,4,21.92,2021-02-08,Spring
97,Product 97,7,10,10,428.37,2022-05-05,Summer
98,Product 98,7,1,9,226.79,2021-05-13,Fall
99,Product 99,4,10,8,390.45,2023-07-30,All Year
100,Product 100,3,2,10,82.86,2096-02-11,All Year
101,Product 101,7,9,4,287.84,2021-02-18,Fall
102,Product 102,10,4,5,172.73,2021-08-03,All Year
103,Product 103,7,4,5,449.22,2021-04-18,All Year
104,Product 104,4,5,1,368.12,2023-01-05,All Year
105,Product 105,3,6,2,N/A,2021-11-01,Summer
106,Product 106,9,9,1,33.38,2030-03-24,Spring
107,Product 107,8,8,6,283.0,2023-09-17,Spring
108,Product 108,5,9,9,124.55,2021-02-02,Fall
109,Product 109,10,5,9,388.7,2023-04-02,All Year
110,Product 110,6,9,7,N/A,2021-12-30,All Year
111,Product 111,3,4,6,442.07,2020-09-22,Summer
112,Product 112,8,9,1,63.08,2021-02-22,Fall
113,Product 113,7,3,1,252.14,2020-09-06,All Year
114,Product 114,5,7,9,123.32,2022-05-15,All Year
115,Product 115,3,9,7,N/A,2021-03-30,Summer
116,Product 116,1,3,7,39.14,2020-11-15,Spring
117,Product 117,4,7,9,173.93,2022-10-17,Fall
118,Product 118,9,7,3,433.47,2022-07-21,All Year
119,Product 119,3,5,5,21.42,2020-11-10,All Year
120,Product 120,9,3,1,25.51,2023-01-02,Spring
121,Product 121,5,4,7,385.16,2021-05-02,All Year
122,Product 122,3,1,2,338.56,2020-03-08,All Year
123,Product 123,5,4,9,425.14,2022-01-27,All Year
124,Product 124,5,6,6,54.19,2021-07-28,Winter
125,Product 125,9,6,7,66.95,2022-04-22,Spring
126,Product 126,10,7,7,264.06,2021-09-10,All Year
127,Product 127,6,2,3,276.77,2020-09-25,Spring
128,Product 128,5,1,2,270.66,2020-06-19,Summer
129,Product 129,8,4,2,48.79,2021-04-03,Summer
130,Product 130,5,8,1,194.01,2020-06-04,All Year
131,Product 131,5,2,2,137.79,2020-08-13,All Year
132,Product 132,1,5,1,65.92,2021-12-09,Spring
133,Product 133,1,1,8,347.6,2022-01-09,Fall
134,Product 134,5,6,9,136.4,2020-08-13,All Year
135,Product 135,5,9,5,N/A,2021-06-02,Winter
136,Product 136,2,4,8,373.96,2021-08-29,All Year
137,Product 137,6,8,7,314.89,2021-05-01,All Year
138,Product 138,1,4,9,36.42,2022-11-08,All Year
139,Product 139,5,8,5,N/A,2049-04-11,All Year
140,Product 140,6,9,4,N/A,2022-05-08,All Year
141,Product 141,10,5,2,472.81,2022-08-06,All Year
142,Product 142,3,7,3,311.51,2022-03-25,Summer
143,Product 143,3,4,2,358.83,2021-03-29,All Year
144,Product 144,7,8,9,338.37,2023-05-28,Fall
145,Product 145,7,7,9,169.51,2031-08-15,All Year
146,Product 146,9,4,6,309.57,2022-04-14,All Year
147,Product 147,1,1,3,N/A,2020-05-05,All Year
148,Product 148,1,3,1,384.06,2023-12-31,Spring
149,Product 149,7,5,1,15.02,2023-07-25,All Year
150,Product 150,9,3,1,108.22,2021-10-03,Spring
151,Product 151,7,3,5,237.42,2021-01-23,All Year
152,Product 152,10,3,5,338.46,2021-01-08,All Year
153,Product 153,1,8,3,275.19,2047-08-10,All Year
154,Product 154,3,2,8,277.94,2020-11-06,Winter
155,Product 155,4,10,8,450.44,2021-06-07,All Year
156,Product 156,8,8,6,273.08,2023-07-17,All Year
157,Product 157,9,10,8,473.48,2020-07-29,All Year
158,Product 158,2,8,6,133.74,2020-12-30,All Year
159,Product 159,6,2,8,N/A,2020-03-20,Fall
160,Product 160,9,5,4,112.78,2020-02-02,Winter
161,Product 161,6,2,6,162.6,2021-02-04,Summer
162,Product 162,8,5,10,N/A,2022-09-05,Spring
163,Product 163,5,7,8,312.99,2020-04-12,Spring
164,Product 164,6,6,3,106.98,2022-08-30,All Year
165,Product 165,3,9,9,132.57,2066-07-06,All Year
166,Product 166,1,4,9,431.26,2021-12-13,All Year
167,Product 167,10,4,8,197.59,2020-04-17,All Year
168,Product 168,9,1,1,300.4,2022-11-22,All Year
169,Product 169,9,1,5,216.9,2023-11-13,Summer
170,Product 170,2,6,7,132.13,2020-02-04,All Year
171,Product 171,7,2,7,219.25,2020-06-17,Summer
172,Product 172,5,8,8,196.12,2021-04-11,All Year
173,Product 173,1,8,6,211.61,2020-08-21,Winter
174,Product 174,8,3,5,464.89,2023-07-05,Fall
175,Product 175,3,4,4,190.55,2020-03-08,Winter
176,Product 176,3,3,4,316.36,2057-02-08,Fall
177,Product 177,2,4,1,382.07,2023-10-18,All Year
178,Product 178,7,7,8,293.19,2022-02-24,Summer
179,Product 179,3,10,4,292.93,2020-08-25,Winter
180,Product 180,3,7,1,123.93,2089-03-27,All Year
181,Product 181,1,3,4,35.08,2022-08-26,All Year
182,Product 182,6,9,5,69.58,2020-11-23,All Year
183,Product 183,2,8,7,257.64,2020-07-09,Spring
184,Product 184,10,7,4,50.71,2021-01-22,All Year
185,Product 185,3,1,4,47.92,2023-07-15,Spring
186,Product 186,3,4,5,N/A,2021-12-01,All Year
187,Product 187,9,5,5,292.83,2022-06-09,All Year
188,Product 188,5,3,5,N/A,2023-06-02,All Year
189,Product 189,8,3,4,421.06,2023-11-04,All Year
190,Product 190,8,4,5,323.58,2051-07-15,Spring
191,Product 191,4,10,4,158.55,2020-05-24,All Year
192,Product 192,9,6,6,165.74,2023-02-17,Fall
193,Product 193,5,7,3,12.05,2023-03-09,All Year
194,Product 194,7,1,4,324.4,2023-01-12,Fall
195,Product 195,10,3,8,257.26,2020-09-07,Summer
196,Product 196,10,10,7,97.77,2023-03-05,Summer
197,Product 197,3,6,10,228.86,2022-01-03,All Year
198,Product 198,5,7,3,166.31,2023-02-26,All Year
199,Product 199,9,5,4,41.56,2021-04-22,All Year
200,Product 200,9,9,7,188.49,2023-02-05,All Year
201,Product 201,2,10,9,149.42,2020-09-26,All Year
202,Product 202,3,10,5,499.02,2022-02-17,All Year
203,Product 203,10,8,9,489.72,2021-05-05,Fall
204,Product 204,7,2,4,75.19,2076-04-03,All Year
205,Product 205,10,8,2,110.68,2021-05-13,All Year
206,Product 206,3,4,5,234.37,2023-07-04,Spring
207,Product 207,5,6,7,N/A,2020-10-03,All Year
208,Product 208,8,9,6,N/A,2023-04-21,All Year
209,Product 209,3,1,2,383.42,2022-02-18,All Year
210,Product 210,10,3,1,304.74,2023-07-27,All Year
211,Product 211,9,2,4,199.25,2021-06-18,All Year
212,Product 212,10,5,9,385.44,2023-08-06,All Year
213,Product 213,5,8,4,N/A,2022-03-23,All Year
214,Product 214,1,8,8,316.94,2023-10-22,Summer
215,Product 215,3,6,8,439.46,2022-03-02,Summer
216,Product 216,2,9,1,494.0,2051-08-28,All Year
217,Product 217,7,2,3,367.96,2020-09-26,All Year
218,Product 218,7,5,8,339.79,2023-07-24,All Year
219,Product 219,7,2,3,126.15,2023-08-08,All Year
220,Product 220,8,7,2,231.42,2023-11-23,Summer
221,Product 221,10,5,6,175.45,2020-07-05,All Year
222,Product 222,7,10,10,316.46,2021-11-02,Summer
223,Product 223,7,3,8,168.69,2020-10-24,All Year
224,Product 224,9,2,6,315.85,2020-03-07,Spring
225,Product 225,3,3,7,67.99,2020-02-03,Spring
226,Product 226,8,7,8,81.04,2022-04-21,Spring
227,Product 227,9,8,6,367.35,2023-02-26,All Year
228,Product 228,8,6,7,40.66,2023-07-14,Winter
229,Product 229,1,9,4,319.14,2022-06-15,Winter
230,Product 230,5,5,9,40.06,2021-08-31,All Year
231,Product 231,8,3,3,382.61,2023-01-05,All Year
232,Product 232,4,4,3,92.9,2020-04-08,All Year
233,Product 233,2,10,7,214.07,2035-04-06,Fall
234,Product 234,7,7,1,323.08,2021-12-26,All Year
235,Product 235,3,9,3,N/A,2022-02-11,All Year
236,Product 236,2,7,9,10.94,2022-03-26,All Year
237,Product 237,2,10,6,435.52,2020-09-25,All Year
238,Product 238,6,10,3,279.0,2023-02-08,Fall
239,Product 239,2,9,6,408.25,2023-03-24,Spring
240,Product 240,7,6,10,23.76,2023-01-06,Fall
241,Product 241,9,9,2,301.31,2021-01-22,All Year
242,Product 242,8,2,10,399.86,2023-08-27,All Year
243,Product 243,4,9,7,442.31,2022-05-18,Spring
244,Product 244,5,7,10,33.83,2023-10-28,Winter
245,Product 245,4,2,1,237.68,2020-03-19,Winter
246,Product 246,5,8,9,308.48,2020-01-15,All Year
247,Product 247,1,10,2,N/A,2022-11-03,Winter
248,Product 248,2,9,4,431.65,2099-05-11,All Year
249,Product 249,9,1,3,295.57,2064-01-15,All Year
250,Product 250,7,5,7,219.72,2021-08-17,All Year
251,Product 251,3,9,2,137.15,2020-02-25,All Year
